Dataset,Oversampler,Classifier,Accuracy,Precision,Recall,F1 Score,ROC AUC,Time Taken
ACSF1,none_sampling,multi_rocket_hydra,0.98,1.0,0.8,0.8888888888888888,0.9,15.333612203598022
Adiac,none_sampling,multi_rocket_hydra,1.0,1.0,1.0,1.0,1.0,7.780800104141235
ArrowHead,none_sampling,multi_rocket_hydra,0.72,1.0,0.2898550724637681,0.449438202247191,0.644927536231884,3.4599690437316895
Beef,none_sampling,multi_rocket_hydra,0.8,0.0,0.0,0.0,0.5,1.5225498676300049
BeetleFly,none_sampling,multi_rocket_hydra,0.55,1.0,0.1,0.18181818181818182,0.55,0.9861099720001221
BirdChicken,none_sampling,multi_rocket_hydra,0.7,1.0,0.4,0.5714285714285714,0.7,1.06392502784729
BME,none_sampling,multi_rocket_hydra,0.8,1.0,0.4,0.5714285714285714,0.7,1.6705601215362549
Car,none_sampling,multi_rocket_hydra,0.7666666666666667,0.0,0.0,0.0,0.5,3.7173011302948
CBF,none_sampling,multi_rocket_hydra,0.6677777777777778,1.0,0.0033333333333333335,0.006644518272425249,0.5016666666666667,12.273518800735474
Chinatown,none_sampling,multi_rocket_hydra,0.7988338192419825,1.0,0.26595744680851063,0.42016806722689076,0.6329787234042553,0.9427859783172607
ChlorineConcentration,none_sampling,multi_rocket_hydra,0.8013020833333333,0.9019607843137255,0.15575620767494355,0.26564003849855633,0.575339173573423,77.55302906036377
CinCECGTorso,none_sampling,multi_rocket_hydra,0.8942028985507247,0.9473684210526315,0.6171428571428571,0.7474048442906575,0.8027461858529819,237.38704180717468
Coffee,none_sampling,multi_rocket_hydra,0.07142857142857142,0.0,0.0,0.0,0.06666666666666665,0.8821868896484375
Computers,none_sampling,multi_rocket_hydra,0.536,0.8461538461538461,0.088,0.15942028985507245,0.536,18.113795042037964
CricketX,none_sampling,multi_rocket_hydra,0.958974358974359,0.8666666666666667,0.48148148148148145,0.6190476190476191,0.7379859198041016,18.502943992614746
CricketY,none_sampling,multi_rocket_hydra,0.9179487179487179,1.0,0.13513513513513514,0.23809523809523808,0.5675675675675675,18.92084813117981
CricketZ,none_sampling,multi_rocket_hydra,0.9358974358974359,1.0,0.24242424242424243,0.3902439024390244,0.6212121212121212,18.659218072891235
Crop,none_sampling,multi_rocket_hydra,0.9936904761904762,0.9513677811550152,0.8942857142857142,0.9219440353460973,0.9461490683229813,136.40971994400024
DiatomSizeReduction,none_sampling,multi_rocket_hydra,0.9640522875816994,1.0,0.6666666666666666,0.8,0.8333333333333333,9.453723192214966
DistalPhalanxOutlineCorrect,none_sampling,multi_rocket_hydra,0.6195652173913043,0.9166666666666666,0.09565217391304348,0.1732283464566929,0.5447204968944099,4.281083822250366
DistalPhalanxOutlineAgeGroup,none_sampling,multi_rocket_hydra,0.9568345323741008,0.8,0.8,0.8,0.8879032258064516,2.9916751384735107
DistalPhalanxTW,none_sampling,multi_rocket_hydra,0.9424460431654677,0.9166666666666666,0.6111111111111112,0.7333333333333333,0.8014233241505969,3.1166598796844482
Earthquakes,none_sampling,multi_rocket_hydra,0.7482014388489209,0.0,0.0,0.0,0.5,15.297224044799805
ECG200,none_sampling,multi_rocket_hydra,0.74,1.0,0.2777777777777778,0.43478260869565216,0.6388888888888888,1.4984512329101562
ECG5000,none_sampling,multi_rocket_hydra,0.9686666666666667,0.9982738780207134,0.9263214095034704,0.9609526446967599,0.9625897112229952,64.87498903274536
ECGFiveDays,none_sampling,multi_rocket_hydra,0.3797909407665505,0.0,0.0,0.0,0.37759815242494227,11.682447910308838
ElectricDevices,none_sampling,multi_rocket_hydra,0.9247827778498249,0.7919463087248322,0.17691154422788605,0.28921568627450983,0.5862553178266063,203.93815684318542
EOGHorizontalSignal,none_sampling,multi_rocket_hydra,0.919889502762431,0.5714285714285714,0.13333333333333333,0.21621621621621623,0.56214859437751,68.68054509162903
EOGVerticalSignal,none_sampling,multi_rocket_hydra,0.9668508287292817,0.95,0.6333333333333333,0.76,0.8151606425702811,68.44249200820923
EthanolLevel,none_sampling,multi_rocket_hydra,0.754,0.7142857142857143,0.03968253968253968,0.07518796992481203,0.517167473049826,674.0390667915344
FaceAll,none_sampling,multi_rocket_hydra,0.9994082840236687,0.9863013698630136,1.0,0.993103448275862,0.999690976514215,25.643986225128174
FaceFour,none_sampling,multi_rocket_hydra,0.8636363636363636,1.0,0.14285714285714285,0.25,0.5714285714285714,2.923588991165161
FacesUCR,none_sampling,multi_rocket_hydra,0.9878048780487805,1.0,0.7474747474747475,0.8554913294797688,0.8737373737373737,28.515490770339966
FiftyWords,none_sampling,multi_rocket_hydra,0.9802197802197802,1.0,0.8421052631578947,0.9142857142857143,0.9210526315789473,13.491016864776611
Fish,none_sampling,multi_rocket_hydra,0.92,1.0,0.4166666666666667,0.5882352941176471,0.7083333333333334,8.145307064056396
FordA,none_sampling,multi_rocket_hydra,0.8007575757575758,1.0,0.5884194053208138,0.7408866995073892,0.7942097026604069,595.3615829944611
FordB,none_sampling,multi_rocket_hydra,0.3271604938271605,0.02,0.007481296758104738,0.010889292196007259,0.32403404691205967,80.65650582313538
FreezerRegularTrain,none_sampling,multi_rocket_hydra,0.9498245614035088,1.0,0.8996491228070176,0.9471739933505726,0.9498245614035088,94.01505589485168
FreezerSmallTrain,none_sampling,multi_rocket_hydra,0.84,1.0,0.68,0.8095238095238095,0.8400000000000001,92.46961784362793
GunPoint,none_sampling,multi_rocket_hydra,0.29333333333333333,0.0,0.0,0.0,0.2894736842105263,1.8875629901885986
GunPointAgeSpan,none_sampling,multi_rocket_hydra,0.8259493670886076,1.0,0.6474358974358975,0.7859922178988327,0.8237179487179487,4.480310916900635
GunPointMaleVersusFemale,none_sampling,multi_rocket_hydra,0.8639240506329114,1.0,0.7133333333333334,0.8326848249027238,0.8566666666666667,4.709482908248901
GunPointOldVersusYoung,none_sampling,multi_rocket_hydra,1.0,1.0,1.0,1.0,1.0,4.650882005691528
Ham,none_sampling,multi_rocket_hydra,0.5142857142857142,0.0,0.0,0.0,0.5,4.278340101242065
HandOutlines,none_sampling,multi_rocket_hydra,0.827027027027027,0.9859154929577465,0.5263157894736842,0.6862745098039216,0.7610481900954918,187.90434193611145
Haptics,none_sampling,multi_rocket_hydra,0.8181818181818182,0.6428571428571429,0.15,0.24324324324324326,0.5649193548387096,37.27606773376465
Herring,none_sampling,multi_rocket_hydra,0.59375,0.0,0.0,0.0,0.5,3.2678327560424805
HouseTwenty,none_sampling,multi_rocket_hydra,0.29411764705882354,0.0,0.0,0.0,0.2536231884057971,23.954775094985962
InlineSkate,none_sampling,multi_rocket_hydra,0.9218181818181819,0.9166666666666666,0.20754716981132076,0.3384615384615385,0.6027675486883565,123.07579016685486
InsectEPGRegularTrain,none_sampling,multi_rocket_hydra,1.0,1.0,1.0,1.0,1.0,15.205276250839233
InsectEPGSmallTrain,none_sampling,multi_rocket_hydra,1.0,1.0,1.0,1.0,1.0,14.649324178695679
InsectWingbeatSound,none_sampling,multi_rocket_hydra,0.9611111111111111,0.8992248062015504,0.6444444444444445,0.7508090614886731,0.8186111111111111,44.27273416519165
ItalyPowerDemand,none_sampling,multi_rocket_hydra,0.4110787172011662,0.0,0.0,0.0,0.40988372093023256,2.5872788429260254
LargeKitchenAppliances,none_sampling,multi_rocket_hydra,0.8186666666666667,1.0,0.456,0.6263736263736264,0.728,29.921687841415405
Lightning2,none_sampling,multi_rocket_hydra,0.6229508196721312,1.0,0.17857142857142858,0.30303030303030304,0.5892857142857143,5.067076921463013
Lightning7,none_sampling,multi_rocket_hydra,0.9452054794520548,1.0,0.6,0.75,0.8,3.308886766433716
Mallat,none_sampling,multi_rocket_hydra,0.9215351812366738,1.0,0.3741496598639456,0.5445544554455446,0.6870748299319728,209.4069700241089
Meat,none_sampling,multi_rocket_hydra,0.7666666666666667,1.0,0.3,0.46153846153846156,0.65,2.6683850288391113
MedicalImages,none_sampling,multi_rocket_hydra,0.9486842105263158,0.8166666666666667,0.6363636363636364,0.7153284671532847,0.810129109543458,8.56343698501587
MiddlePhalanxOutlineCorrect,none_sampling,multi_rocket_hydra,0.6460481099656358,1.0,0.176,0.29931972789115646,0.588,4.244395017623901
MiddlePhalanxOutlineAgeGroup,none_sampling,multi_rocket_hydra,0.7662337662337663,1.0,0.02702702702702703,0.05263157894736842,0.5135135135135135,3.101901054382324
MiddlePhalanxTW,none_sampling,multi_rocket_hydra,0.8441558441558441,1.0,0.04,0.07692307692307693,0.52,3.0938920974731445
MixedShapesRegularTrain,none_sampling,multi_rocket_hydra,0.9855670103092784,0.9976470588235294,0.925764192139738,0.9603624009060022,0.962627901865497,252.58561992645264
MixedShapesSmallTrain,none_sampling,multi_rocket_hydra,0.9538144329896907,1.0,0.7554585152838428,0.8606965174129353,0.8777292576419213,236.19855403900146
MoteStrain,none_sampling,multi_rocket_hydra,0.5135782747603834,0.0,0.0,0.0,0.4762962962962963,10.28036904335022
NonInvasiveFetalECGThorax1,none_sampling,multi_rocket_hydra,0.9928753180661578,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.9252575639019301,166.0687689781189
NonInvasiveFetalECGThorax2,none_sampling,multi_rocket_hydra,0.9944020356234097,0.8627450980392157,0.9166666666666666,0.8888888888888888,0.95650756390193,163.55817794799805
OliveOil,none_sampling,multi_rocket_hydra,0.8333333333333334,0.0,0.0,0.0,0.5,1.7947251796722412
OSULeaf,none_sampling,multi_rocket_hydra,0.9834710743801653,1.0,0.875,0.9333333333333333,0.9375,11.055878162384033
PhalangesOutlinesCorrect,none_sampling,multi_rocket_hydra,0.6666666666666666,0.96,0.14457831325301204,0.2513089005235602,0.5703880159420954,12.186734199523926
Phoneme,none_sampling,multi_rocket_hydra,0.9746835443037974,0.08333333333333333,0.02631578947368421,0.04,0.5101977225086398,205.83140516281128
PigAirwayPressure,none_sampling,multi_rocket_hydra,0.9855769230769231,1.0,0.25,0.4,0.625,41.6394419670105
PigArtPressure,none_sampling,multi_rocket_hydra,1.0,1.0,1.0,1.0,1.0,35.60305690765381
PigCVP,none_sampling,multi_rocket_hydra,0.9663461538461539,0.0,0.0,0.0,0.49264705882352944,41.77330803871155
Plane,none_sampling,multi_rocket_hydra,1.0,1.0,1.0,1.0,1.0,2.2305490970611572
PowerCons,none_sampling,multi_rocket_hydra,0.7333333333333333,1.0,0.4666666666666667,0.6363636363636364,0.7333333333333334,3.2810769081115723
ProximalPhalanxOutlineCorrect,none_sampling,multi_rocket_hydra,0.7835051546391752,1.0,0.31521739130434784,0.4793388429752066,0.657608695652174,4.192543029785156
ProximalPhalanxOutlineAgeGroup,none_sampling,multi_rocket_hydra,0.9365853658536586,0.75,0.35294117647058826,0.48,0.6711514392991239,3.1202878952026367
ProximalPhalanxTW,none_sampling,multi_rocket_hydra,0.9853658536585366,0.0,0.0,0.0,0.4975369458128079,3.196208953857422
RefrigerationDevices,none_sampling,multi_rocket_hydra,0.6533333333333333,0.42424242424242425,0.112,0.17721518987341772,0.5180000000000001,38.15256404876709
Rock,none_sampling,multi_rocket_hydra,0.9,1.0,0.7619047619047619,0.8648648648648649,0.8809523809523809,13.191917181015015
ScreenType,none_sampling,multi_rocket_hydra,0.672,1.0,0.016,0.031496062992125984,0.508,113.49507880210876
SemgHandGenderCh2,none_sampling,multi_rocket_hydra,0.4866666666666667,0.0,0.0,0.0,0.37435897435897436,821.4797840118408
SemgHandMovementCh2,none_sampling,multi_rocket_hydra,0.8644444444444445,1.0,0.18666666666666668,0.3146067415730337,0.5933333333333334,3247.0472781658173
SemgHandSubjectCh2,none_sampling,multi_rocket_hydra,0.8577777777777778,1.0,0.28888888888888886,0.4482758620689655,0.6444444444444444,7036.8998811244965
ShapeletSim,none_sampling,multi_rocket_hydra,0.5222222222222223,1.0,0.044444444444444446,0.0851063829787234,0.5222222222222223,390.72025775909424
ShapesAll,none_sampling,multi_rocket_hydra,0.9966666666666667,1.0,0.8,0.8888888888888888,0.9,1916.2693769931793
SmallKitchenAppliances,none_sampling,multi_rocket_hydra,0.832,0.9696969696969697,0.512,0.6701570680628273,0.752,1146.3029110431671
SmoothSubspace,none_sampling,multi_rocket_hydra,0.74,1.0,0.22,0.36065573770491804,0.61,0.8858649730682373
SonyAIBORobotSurface1,none_sampling,multi_rocket_hydra,0.3860232945091514,0.0,0.0,0.0,0.33819241982507287,137.43986010551453
SonyAIBORobotSurface2,none_sampling,multi_rocket_hydra,0.6547743966421826,1.0,0.09863013698630137,0.17955112219451372,0.5493150684931507,6.432613134384155
StarLightCurves,none_sampling,multi_rocket_hydra,0.9765662943176299,0.9939759036144579,0.8411214953271028,0.9111826967326278,0.9201357582882856,893.6165208816528
Strawberry,none_sampling,multi_rocket_hydra,0.8891891891891892,0.989247311827957,0.696969696969697,0.8177777777777778,0.8463840081487141,11.851582050323486
SwedishLeaf,none_sampling,multi_rocket_hydra,0.9696,1.0,0.5869565217391305,0.7397260273972602,0.7934782608695652,10.379126071929932
Symbols,none_sampling,multi_rocket_hydra,0.9829145728643216,1.0,0.9017341040462428,0.9483282674772037,0.9508670520231214,33.57392477989197
SyntheticControl,none_sampling,multi_rocket_hydra,1.0,1.0,1.0,1.0,1.0,3.44046688079834
ToeSegmentation1,none_sampling,multi_rocket_hydra,0.5219298245614035,0.0,0.0,0.0,0.49583333333333335,5.7569379806518555
ToeSegmentation2,none_sampling,multi_rocket_hydra,0.5846153846153846,0.0,0.0,0.0,0.3584905660377359,3.947984218597412
Trace,none_sampling,multi_rocket_hydra,1.0,1.0,1.0,1.0,1.0,3.8913588523864746
TwoLeadECG,none_sampling,multi_rocket_hydra,0.3994732221246708,0.0,0.0,0.0,0.3991228070175439,8.85024881362915
TwoPatterns,none_sampling,multi_rocket_hydra,0.99375,1.0,0.9758454106280193,0.9877750611246944,0.9879227053140096,60.236083030700684
UMD,none_sampling,multi_rocket_hydra,0.7083333333333334,1.0,0.125,0.2222222222222222,0.5625,2.217235803604126
UWaveGestureLibraryAll,none_sampling,multi_rocket_hydra,0.986320491345617,0.9974358974358974,0.8901601830663616,0.9407496977025392,0.944921109021257,367.8358881473541
UWaveGestureLibraryX,none_sampling,multi_rocket_hydra,0.9452819653824679,0.9581749049429658,0.5766590389016019,0.72,0.7865807118196403,108.11660194396973
UWaveGestureLibraryY,none_sampling,multi_rocket_hydra,0.946677833612507,0.9456521739130435,0.597254004576659,0.7321178120617111,0.7962422646094741,109.16206908226013
UWaveGestureLibraryZ,none_sampling,multi_rocket_hydra,0.9530988274706867,0.9653979238754326,0.6384439359267735,0.768595041322314,0.8176321428441499,108.25413513183594
Wafer,none_sampling,multi_rocket_hydra,0.9985399091499026,1.0,0.9864661654135338,0.9931869795609387,0.9932330827067669,100.19502997398376
Wine,none_sampling,multi_rocket_hydra,0.5,0.0,0.0,0.0,0.5,1.283318042755127
WordSynonyms,none_sampling,multi_rocket_hydra,0.9827586206896551,1.0,0.21428571428571427,0.35294117647058826,0.6071428571428571,15.296518802642822
Worms,none_sampling,multi_rocket_hydra,0.6103896103896104,1.0,0.09090909090909091,0.16666666666666666,0.5454545454545454,10.450869083404541
WormsTwoClass,none_sampling,multi_rocket_hydra,0.6103896103896104,1.0,0.09090909090909091,0.16666666666666666,0.5454545454545454,10.481207847595215
Yoga,none_sampling,multi_rocket_hydra,0.6196666666666667,1.0,0.18090452261306533,0.30638297872340425,0.5904522613065326,120.58758807182312
