Dataset,Oversampler,Classifier,Accuracy,Precision,Recall,F1 Score,ROC AUC,Time Taken
ACSF1,none_sampling,rotation_forest,0.93,1.0,0.3,0.46153846153846156,0.8922222222222222,21.551959991455078
ACSF1,none_sampling,rotation_forest,0.93,1.0,0.3,0.46153846153846156,0.8922222222222222,21.342254877090454
Adiac,none_sampling,rotation_forest,0.9846547314578005,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9940476190476191,3.6646957397460938
ArrowHead,none_sampling,rotation_forest,0.6742857142857143,0.9285714285714286,0.18840579710144928,0.3132530120481928,0.8297101449275361,3.996067762374878
Beef,none_sampling,rotation_forest,0.9333333333333333,1.0,0.6666666666666666,0.8,0.8854166666666667,7.042407035827637
BeetleFly,none_sampling,rotation_forest,0.5,0.0,0.0,0.0,0.45499999999999996,7.454090356826782
BirdChicken,none_sampling,rotation_forest,0.5,0.0,0.0,0.0,0.45,7.507478952407837
BME,none_sampling,rotation_forest,0.7,1.0,0.1,0.18181818181818182,0.9999999999999999,2.017528772354126
Car,none_sampling,rotation_forest,0.7666666666666667,0.0,0.0,0.0,0.7810559006211181,8.762363910675049
CBF,none_sampling,rotation_forest,0.6666666666666666,0.0,0.0,0.0,0.6639083333333334,2.341470956802368
Chinatown,none_sampling,rotation_forest,0.8688046647230321,0.9803921568627451,0.5319148936170213,0.6896551724137931,0.9945526788003076,0.49286890029907227
ChlorineConcentration,none_sampling,rotation_forest,0.8348958333333333,0.9960629921259843,0.28555304740406323,0.443859649122807,0.8499117774269421,8.471606969833374
CinCECGTorso,none_sampling,rotation_forest,0.75,1.0,0.014285714285714285,0.028169014084507043,0.7540943134535367,36.075510025024414
Coffee,none_sampling,rotation_forest,0.42857142857142855,0.0,0.0,0.0,0.04102564102564103,4.293478012084961
Computers,none_sampling,rotation_forest,0.5,0.0,0.0,0.0,0.5544,11.800137042999268
CricketX,none_sampling,rotation_forest,0.941025641025641,0.8333333333333334,0.18518518518518517,0.30303030303030304,0.930109172533415,8.703761100769043
CricketY,none_sampling,rotation_forest,0.9102564102564102,0.75,0.08108108108108109,0.14634146341463414,0.9102289258096623,11.057524919509888
CricketZ,none_sampling,rotation_forest,0.9307692307692308,1.0,0.18181818181818182,0.3076923076923077,0.8761989644342586,8.454410076141357
Crop,none_sampling,rotation_forest,0.9929166666666667,0.9489953632148377,0.8771428571428571,0.9116555308092057,0.9954731588287489,20.169403076171875
DiatomSizeReduction,none_sampling,rotation_forest,0.9379084967320261,1.0,0.42424242424242425,0.5957446808510638,0.9999999999999999,5.2930707931518555
DistalPhalanxOutlineCorrect,none_sampling,rotation_forest,0.6304347826086957,1.0,0.11304347826086956,0.203125,0.7741560896570348,2.701369047164917
DistalPhalanxOutlineAgeGroup,none_sampling,rotation_forest,0.9280575539568345,0.7777777777777778,0.4666666666666667,0.5833333333333334,0.9454301075268817,2.3022501468658447
DistalPhalanxTW,none_sampling,rotation_forest,0.935251798561151,0.9090909090909091,0.5555555555555556,0.6896551724137931,0.977961432506887,2.197502374649048
Earthquakes,none_sampling,rotation_forest,0.7482014388489209,0.0,0.0,0.0,0.7314560439560439,11.931734800338745
ECG200,none_sampling,rotation_forest,0.64,0.0,0.0,0.0,0.8506944444444444,1.727524995803833
ECG5000,none_sampling,rotation_forest,0.8884444444444445,0.9992716678805535,0.7325146823278164,0.8453481207640172,0.9958226727212236,4.533990144729614
